question,opt1,opt2,opt3,opt4,answer,era,difficulty,hint
"1990년대 인기 ""쿵따리 샤바라"" 부른 그룹은?",클론,DJ DOC,터보,젝스키스,클론,classic,3,
DJ DOC의 대표곡은?,Run to you,Summer Story,DOC와 춤을,위 모두,위 모두,classic,3,
"""학교 2013"" 주연은?",이종석,김우빈,박보검,박서준,이종석,classic,3,
"""카리스마"" 별명을 가진 90년대 그룹은?",젝스키스,클릭비,HOT,신화,HOT,classic,3,
"2000년대 초 인기 게임 ""카트라이더"" 제작사는?",넥슨,엔씨소프트,블리자드,NC,넥슨,classic,3,
"""크레이지 아케이드""의 캐릭터로 유명한 것은?",배찌,다오,에리,위 모두,위 모두,classic,3,
"""스타크래프트"" 출시 연도는?",1996년,1998년,2000년,2002년,1998년,classic,3,
"""리니지""의 제작사는?",넥슨,엔씨소프트,웹젠,NHN,엔씨소프트,classic,3,
90년대 PC통신 대표 ID 제공자 중 하나는?,나우누리,천리안,하이텔,위 모두,위 모두,classic,3,
90년대 인기 라면은?,신라면,진라면,너구리,팔도비빔면,신라면,classic,3,
"추억의 과자 ""꼬깔콘""의 제조사는?",롯데,해태,농심,오리온,해태,classic,3,
"1990년대 ""IMF""가 한국을 덮친 해는?",1995년,1996년,1997년,1998년,1997년,classic,3,
2002년 한국을 들썩이게 한 축구 응원 슬로건은?,대~한민국,우리가 챔피언,자랑스런 태극전사,짝짝짝 짝짝,대~한민국,classic,3,
"""광복의 노래""로 알려진 1945년 해방 시기 대표곡은?",아침이슬,우리의 소원은 통일,광복의 노래,아리랑,광복의 노래,classic,3,
"90년대 후반 ""비욘드"" 드라마 OST로 뜬 팝 곡은?",Jumper,Because I Love You,I Will Always Love You,My Heart Will Go On,Jumper,classic,3,
"""응답하라 1988"" 속 동네 이름은?",쌍문동,봉천동,신촌,이태원,쌍문동,classic,3,
"""응답하라 1997""의 배경 도시는?",부산,대구,광주,대전,부산,classic,3,
"""삼겹살 데이""는 몇 월 며칠?",3월 3일,5월 5일,11월 11일,9월 9일,3월 3일,classic,3,
"""에스퍼맨"" ""아프로디테"" 등이 나오는 만화는?",드래곤볼,캔디캔디,하니만,에스파별,에스파별,classic,3,
"1990년대 ""두리번 두리번"" 인기 CF 제품은?",껌,과자,아이스크림,초코바,초코바,classic,3,
"초등학교 점심시간 인기 과자 ""꿀꽈배기"" 제조사는?",해태,롯데,농심,오리온,해태,classic,3,
"추억의 ""쫀드기""는 어떤 재료?",쌀,밀가루,밀가루·설탕,콩,밀가루·설탕,classic,3,
"90년대 말 ""X맨"" 프로그램에서 유재석이 속한 팀 이름은?",초록팀,빨간팀,팀마다 다름,고정 무지개팀,팀마다 다름,classic,3,
"""전원일기""의 주요 무대는?",양촌리,평촌리,두촌리,수촌리,양촌리,classic,3,
"""모래시계"" 주연은?",최민수·고현정,박중훈·전도연,이병헌·심은하,이정재·고소영,최민수·고현정,classic,3,
"""허준"" 드라마에서 허준의 스승은?",양예수,유의태,김두한,이도령,유의태,classic,3,
"""도전 골든벨"" 첫 진행자는?",김제동,손범수,김성주,최일구,손범수,classic,3,
"""쇼 비디오 자키""가 방영한 방송사는?",KBS,MBC,SBS,TVN,MBC,classic,3,
"1990년대 인기 캐릭터 ""딸기맛 사탕"" 광고에 자주 쓰인 효과음은?",뽀빠이,토토로,짜잔,펑,짜잔,classic,3,
"추억의 ""학원폭력"" 만화 ""꼴""은 누구의 작품?",허영만,박재동,이두호,이말년,허영만,classic,3,
"""창세기전"" 게임 제작사는?",소프트맥스,블리자드,넥슨,엔씨,소프트맥스,classic,3,
"""바람의 나라""는 어떤 만화 원작?",김진,김혜린,박희정,윤태호,김진,classic,3,
"""헝그리 베스트 5"" 개그맨 팀은?",서세원·주병진 등,심형래·서세원 등,남철·남성남·이상해 등,위 모두,위 모두,classic,3,
"""신세대 어린이 프로그램"" 뽀로로 방영 시작 연도는?",2001년,2003년,2005년,2007년,2003년,classic,3,
"""뽀로로"" 제작사는?",아이코닉스,픽사,디즈니,지브리,아이코닉스,classic,3,
"추억의 광고 ""초코파이""의 카피는?",말하지 않아도 알아요,맛 좋은 초코파이,사랑을 전합니다,위 모두,말하지 않아도 알아요,classic,3,
"""빠삐코""는 어떤 간식?",아이스크림,과자,초콜릿,캔디,아이스크림,classic,3,
"""뽀삐""는 어떤 제품 브랜드?",화장지,세제,분유,주스,화장지,classic,3,
"""HOT"" ""젝스키스"" 그룹이 하락세를 보인 2000년대 초의 라이벌은?",god · 핑클 · SES,슈퍼주니어 · 동방신기,빅뱅 · 소녀시대,2PM · 2NE1,god · 핑클 · SES,classic,3,
"""응답하라 1988"" 큰 그림 속 남편은 (정답 전)?",택,정환,선우,택이아빠,택,classic,3,
"""응답하라 1997"" 최종 남편은?",윤윤재,강준희,도학찬,위 중 아무도,윤윤재,classic,3,
"""응답하라 1994"" 최종 남편은?",쓰레기,칠봉이,해태,삼천포,쓰레기,classic,3,
"""또래오래"" ""BHC"" 같은 한국 치킨 프랜차이즈 원조 격은?",페리카나,BHC,BBQ,교촌,페리카나,classic,3,
"""짜왕"" 라면의 제조사는?",농심,오뚜기,삼양,팔도,농심,classic,3,
"2000년대 대히트 만화 ""식객""의 작가는?",허영만,이말년,주호민,박희정,허영만,classic,3,
"추억의 장난감 ""LEGO"" 발상지 국가는?",덴마크,독일,미국,일본,덴마크,classic,3,
"""카드캡터 체리"" 원제(일본어)는?",소녀혁명 우테나,카드캡터 사쿠라,카드왕자,세일러문,카드캡터 사쿠라,classic,3,
"""세일러문""의 주인공 본명은?",츠키노 우사기,츠키노 루나,아이카와 치즈루,타키 타츠야,츠키노 우사기,classic,3,
"""원피스""의 주인공 이름은?",루피,조로,나미,우솝,루피,classic,3,
"""나루토"" 주인공 본명은?",우즈마키 나루토,우치하 사스케,하타케 카카시,하루노 사쿠라,우즈마키 나루토,classic,3,
"""블리치"" 주인공은?",쿠로사키 이치고,유하바흐,이시다 우류,아이젠,쿠로사키 이치고,classic,3,
"""은혼"" 주인공은?",사카타 긴토키,카구라,신파치,히지카타,사카타 긴토키,classic,3,
"1998년 PSK 아이들 인기 피규어 ""뚱냥이""는 어느 캐릭터?",뚱한 고양이,다마고치,포켓몬,디지몬,뚱한 고양이,classic,3,
"""다마고치""의 발상 국가는?",일본,미국,한국,중국,일본,classic,3,
"""포켓몬스터""의 주인공은?",지우,레드,그린,위 모두 게임/애니에서 다름,위 모두 게임/애니에서 다름,classic,3,
"""포켓몬"" 1세대 피카츄의 진화체는?",라이츄,피츄,알로라 라이츄,위 모두,라이츄,classic,3,
"""디지몬 어드벤쳐""의 주인공 파트너 디지몬은?",아구몬,파피몬,콘돌몬,팔몬,아구몬,classic,3,
"""요괴워치""의 주인공 이름은?",케이타,지바냥,휘스퍼,제일리,케이타,classic,3,
"""꼬마버스 타요""의 메인 색상은?",파랑,빨강,노랑,초록,파랑,classic,3,
"""핑크퐁 아기상어""의 원곡자는?",스마트스터디(더핑크퐁컴퍼니),디즈니,삼성,SBS,스마트스터디(더핑크퐁컴퍼니),classic,3,
"90년대 인기 완구 ""파워레인저""의 원조 국가는?",일본,미국,한국,중국,일본,classic,3,
"""레이디버드""(무당벌레) 캐릭터로 유명한 동요는?",무당벌레,나비야,학교종,봄이 왔어요,무당벌레,classic,3,
"90년대 노래방 인기 송 ""To Heaven"" 원곡자는?",조성모,김경호,서태지,김범수,조성모,classic,3,
"""노란봉고차"" 노래 부른 가수는?",자두,김광석,김건모,김장훈,자두,classic,3,
"""연어"" 노래 부른 가수는?",자두,김광석,자두,신화,자두,classic,3,
"""임창정""의 대표곡은?",소주 한잔,내가 저지른 사랑,결혼해줘,위 모두,위 모두,classic,3,
"추억의 ""옛날 과자 유가"" 종류가 아닌 것은?",별사탕,엿,곶감,감자칩,감자칩,classic,3,
"""삼양 식품""의 원조 라면은?",삼양라면,신라면,진라면,너구리,삼양라면,classic,3,
"""진로""가 만드는 대표 주류는?",소주(참이슬),맥주,막걸리,와인,소주(참이슬),classic,3,
"""카스"" 맥주 제조사 (원래)는?",OB,하이트진로,롯데,수입,OB,classic,3,
"90년대 유행어 ""~했습니까"" 캐릭터는?",심형래 영구,이수근,박명수,서세원,심형래 영구,classic,3,
"""영구 없다""를 유행시킨 사람은?",심형래,서세원,이경규,박명수,심형래,classic,3,
"90년대 유행한 PC게임 ""스타크래프트"" 종족이 아닌 것은?",프로토스,저그,테란,엘프,엘프,classic,3,
"""디아블로2"" 출시 연도는?",1998년,2000년,2002년,2004년,2000년,classic,3,
"""World of Warcraft"" 한국 서비스 시작 해는?",2004년,2005년,2006년,2008년,2005년,classic,3,
"""리그오브레전드(LoL)""의 한국 런칭 해는?",2011년,2012년,2013년,2014년,2012년,classic,3,
"""서든어택"" 출시 해는?",2003년,2005년,2007년,2009년,2005년,classic,3,
"""메이플스토리""의 첫 이벤트는?",오픈 이벤트,리버스,빅뱅,위 모두,오픈 이벤트,classic,3,
"""던전앤파이터"" 개발사는?",네오플,블리자드,넥슨,엔씨,네오플,classic,3,
"""카트라이더"" 첫 출시 해는?",2003년,2004년,2005년,2006년,2004년,classic,3,
"""오버워치"" 개발사는?",블리자드,밸브,에픽게임즈,라이엇,블리자드,classic,3,
"""배틀그라운드"" 개발사는?",크래프톤,넥슨,엔씨,넷마블,크래프톤,classic,3,
"""바람의나라"" 게임 출시 해는?",1996년,1998년,2000년,2002년,1996년,classic,3,
"""DDR(댄스댄스레볼루션)""의 발상 국가는?",일본,미국,한국,독일,일본,classic,3,
"""펌프 잇 업""은 어느 나라 제품?",한국,일본,미국,중국,한국,classic,3,
"""미니홈피"" 플랫폼으로 유명했던 사이트는?",싸이월드,페이스북,블로그,세이클럽,싸이월드,classic,3,
"""도토리"" 통화가 있던 사이트는?",싸이월드,네이트온,MSN,카카오,싸이월드,classic,3,
"""네이트온"" 개발사는?",SK커뮤니케이션즈,다음,네이버,삼성,SK커뮤니케이션즈,classic,3,
"""MSN 메신저""의 개발사는?",마이크로소프트,구글,야후,AOL,마이크로소프트,classic,3,
"""버디버디""는 어떤 서비스?",메신저,검색,쇼핑,음악,메신저,classic,3,
"""세이클럽""은 어떤 서비스?",채팅 커뮤니티,메신저,쇼핑몰,검색,채팅 커뮤니티,classic,3,
"""벅스뮤직""은 어떤 서비스?",음악 스트리밍,영화,사진 공유,쇼핑,음악 스트리밍,classic,3,
"""소리바다""의 논란이 된 이슈는?",P2P 음원 공유 저작권,바이러스,사이트 이동,접근 금지,P2P 음원 공유 저작권,classic,3,
"""드림위즈"" 서비스 종류는?",포털 · 이메일,영화 · 드라마,쇼핑몰,검색만,포털 · 이메일,classic,3,
"""네띠앙"" 서비스 종류는?",포털,게임,음악,쇼핑,포털,classic,3,
"""싸이월드"" 부활 시도 시기는?",2020년,2022년,2024년,2021년,2022년,classic,3,
"""미니홈피""의 대표 BGM 플랫폼은?",도토리로 구매,무료 공유,직접 업로드,YouTube 연동,도토리로 구매,classic,3,
"2000년대 중반 여자 연예인 열풍 ""김태희-전지현-송혜교-이영애""는 총칭?",트로이카,빅4,여신,4대 여신,여신,classic,3,
