question,opt1,opt2,opt3,opt4,answer,era,difficulty,hint
황당무계란?,노란 당근이 무게가 더 나간다,터무니없다,말이 안 된다,근거 없다,노란 당근이 무게가 더 나간다,classic,2,
천고마비란?,하늘에 고약한 짓 하면 온몸 마비된다,하늘이 높고 말이 살찐다,가을 하늘이 높다,독감 걸리면 마비된다,하늘에 고약한 짓 하면 온몸 마비된다,classic,2,
착한자식이란?,한국에서 살고 있는 성실한 사람,효도하는 자식,효자,착한 아이,한국에서 살고 있는 성실한 사람,classic,2,
호로자식이란?,러시아를 좋아하는 사람,나쁜 자식,불량한 사람,버릇없는 자식,러시아를 좋아하는 사람,classic,2,
미친자식이란?,미국과 친하게 지내려는 사람,제정신 아닌 사람,이상한 사람,돌아버린 사람,미국과 친하게 지내려는 사람,classic,2,
중학생과 고등학생이 타는 차는?,중고차,학생버스,교통차,통학차,중고차,classic,2,
왕이 넘어지면?,킹콩,킹스폴,왕의 낙상,킹다운,킹콩,classic,2,
초등학생이 좋아하는 동네는?,방학동,학교동,공부동,어린이동,방학동,classic,2,
스타들이 싸우는 모습?,스타워즈,스타배틀,스타파이트,스타대결,스타워즈,classic,2,
달콤한 라면은?,그대와 함께라면,꿀라면,달콤라면,사랑라면,그대와 함께라면,classic,2,
겨울에 많이 쓰는 끈은?,따끈따끈,뜨끈뜨끈,훈훈훈훈,따뜻따뜻,따끈따끈,classic,2,
토끼들이 제일 잘 하는 것은?,토끼기(도망치기),깡충깡충,깜짝놀라기,당근먹기,토끼기(도망치기),classic,2,
길가에서 죽은 사람은?,도사,노숙자,객사자,길거리죽은이,도사,classic,2,
진짜 문제투성이인 것은?,시험지,일기장,문제집,교과서,시험지,classic,2,
세 사람만 탈 수 있는 차는?,인삼차,삼인차,세명차,삼인승차,인삼차,classic,2,
폭력배가 많은 나라는?,칠레,러시아,콜롬비아,멕시코,칠레,classic,2,
권투 잘하는 나라는?,칠레,쿠바,태국,필리핀,칠레,classic,2,
싸움 즐기는 나라는?,칠레,이라크,시리아,아프가니스탄,칠레,classic,2,
굶는 사람이 많은 나라는?,헝가리,소말리아,에티오피아,차드,헝가리,classic,2,
경찰서 가장 많이 불타는 나라는?,불란서,방화국,화염국,연소국,불란서,classic,2,
병신들만 사는 나라는?,네팔,바보국,멍청국,어리석은나라,네팔,classic,2,
차도가 없는 나라는?,인도,보행국,도로없는나라,차없는나라,인도,classic,2,
데모 가장 많은 나라는?,우간다,시위국,데모국,항의국,우간다,classic,2,
노총각들이 좋아하는 감은?,색싯감,홍시,단감,연시,색싯감,classic,2,
먹고 살기 위해 하는 내기는?,모내기,목숨내기,생존내기,목내기,모내기,classic,2,
예뻐도 미녀라고 못하는 사람은?,미남,남미인,미형인,중성인,미남,classic,2,
사람이 일생 가장 많이 하는 소리는?,숨소리,울음소리,웃음소리,말소리,숨소리,classic,2,
가장 알찬 사업은?,알(계란)장사,금광사업,부동산,주식투자,알(계란)장사,classic,2,
눈이 녹으면?,눈물,물,슬러시,눈녹음,눈물,classic,2,
가장 더러운 강은?,요강,오염강,쓰레기강,더러운강,요강,classic,2,
못 듣는 귀는?,뼈다귀,귀머거리,듣지못하는귀,막힌귀,뼈다귀,classic,2,
타지 못하는 말은?,거짓말,달리는말,힘든말,느린말,거짓말,classic,2,
사람이 먹을 수 있는 제비는?,수제비,요제비,제비구이,제비탕,수제비,classic,2,
세상에서 제일 큰 코는?,멕시코,대왕코,슈퍼코,매머드코,멕시코,classic,2,
수학을 한 글자로 줄이면?,솩,수,학,셈,솩,classic,2,
가장 빠른 닭은?,후다닥,번개닭,빠른닭,달리기닭,후다닥,classic,2,
가장 야한 닭은?,홀닥,꽃닭,야닭,섹시닭,홀닥,classic,2,
먹지 못하는 닭은?,까닭,독닭,돌닭,쇠닭,까닭,classic,2,
가슴의 무게는?,4근(두근+두근),2근,3근,5근,4근(두근+두근),classic,2,
먹을 수 없는 간장은?,애간장,소금간장,독간장,쇠간장,애간장,classic,2,
먹지 못하는 감은?,영감,단감,쓴감,독감,영감,classic,2,
잡을 수 없는 개는?,안개(무지개),유령개,허깨비개,도망개,안개(무지개),classic,2,
병아리가 잘 먹는 약은?,삐약,노란약,작은약,황색약,삐약,classic,2,
가장 아름다운 개는?,무지개,미견,예쁜개,화려한개,무지개,classic,2,
걱정 많은 사람이 오르는 산은?,태산,걱정산,고민산,근심산,태산,classic,2,
사람들이 가장 좋아하는 공은?,성공,야구공,축구공,농구공,성공,classic,2,
아무도 보지 못한 다리는?,헛다리,유령다리,투명다리,안 보이는 다리,헛다리,classic,2,
즐겁게 웃으며 읽는 글은?,싱글벙글,재미난 글,유머글,웃긴 글,싱글벙글,classic,2,
보지 못하는 눈은?,티눈,장님눈,막힌눈,어두운눈,티눈,classic,2,
계속 자라라고 하는 것은?,자라(鼈),키다리,성장약,영양제,자라(鼈),classic,2,
가장 빨리 먹는 떡은?,헐레벌떡,번개떡,후딱떡,신속떡,헐레벌떡,classic,2,
다른 곳으로 튀는 똥은?,불똥,날똥,비산똥,튀는똥,불똥,classic,2,
똥의 성은?,응가,변씨,배설씨,분씨,응가,classic,2,
누구나 배워야 하는 술은?,기술,마술,묘술,요술,기술,classic,2,
먹지 못하는 묵은?,침묵,도토리묵,메밀묵,청포묵,침묵,classic,2,
닫지 못하는 문은?,소문,열린문,유리문,빈문,소문,classic,2,
학벌 좋은 물고기는?,고등어,박사어,대학어,명문어,고등어,classic,2,
가장 무서운 물은?,괴물,독물,끓는물,무서운물,괴물,classic,2,
가장 좋아하는 물은?,선물,생수,샘물,약수,선물,classic,2,
쓰지 못하는 바가지는?,해골바가지,깨진바가지,녹슨바가지,오래된바가지,해골바가지,classic,2,
'지'자로 끝나는 배꼽 위 신체 5글자는?,해골바가지,배꼽위신체지,머리해골지,얼굴바가지,해골바가지,classic,2,
바닷가에서 해도 되는 욕은?,해수욕,바다욕,물욕,파도욕,해수욕,classic,2,
발이 두 개 달린 소는?,이발소,두발소,발두개소,소발이,이발소,classic,2,
여전히 배우라는 말 듣는 사람은?,배우,학생,견습생,수습생,배우,classic,2,
가장 빠른 벌레는?,바퀴벌레,번개벌레,빠른벌레,속도벌레,바퀴벌레,classic,2,
가장 슬픈 별은? (재등장),이별,슬픔의별,눈물별,외로운별,이별,classic,2,
가장 싫어하는 거리는?,걱정거리,시내거리,번화가,먼거리,걱정거리,classic,2,
사람이 즐겨 먹는 피는?,커피,홍차,보리차,녹차,커피,classic,2,
사람이 즐겨 먹는 제비는?,수제비,야제비,쑥제비,호제비,수제비,classic,2,
아홉 명의 자식 3자로?,아이구,구남매,아홉남매,구형제,아이구,classic,2,
아껴 먹어야 하는 약은?,절약,아끼는약,소중한약,귀한약,절약,classic,2,
낭떠러지에서 싸는 똥은?,떨어질똥 말똥,절벽똥,벼랑똥,낭떠러지똥,떨어질똥 말똥,classic,2,
빨리 싸는 사람은?,잽싸게,급하게,빠르게,빨리빨리,잽싸게,classic,2,
입방아로 만든 떡은?,쑥떡쑥떡,말떡,잡담떡,수다떡,쑥떡쑥떡,classic,2,
장사꾼들이 싫어하는 경기는?,불경기,레슬링,씨름,권투,불경기,classic,2,
장군이 가장 받고 싶은 복은?,항복,큰복,만복,무병장수,항복,classic,2,
창으로 찌르려할 때 하는 말은?,창피해,창을 들어,찌른다,공격한다,창피해,classic,2,
체면 없는 사람의 나이는?,넉살,민낯살,민망살,부끄러살,넉살,classic,2,
읽을 수 없는 책은?,주책,무자책,빈책,빈페이지책,주책,classic,2,
추운 겨울에 많이 찾는 끈은?,따끈따끈,뜨뜻뜨뜻,훈훈훈훈,따뜻한끈,따끈따끈,classic,2,
전혀 들지 않는 칼은?,머리칼,녹슨칼,무딘칼,가짜칼,머리칼,classic,2,
쓰지 못하는 탈은?,배탈,오래된탈,망가진탈,구멍난탈,배탈,classic,2,
가장 무거운 파리는?,돌팔이,쇳덩이파리,무거운파리,뚱뚱파리,돌팔이,classic,2,
날지 못하는 파리는?,해파리,다친파리,날개없는파리,무거운파리,해파리,classic,2,
하늘에 총 두 개 땅에 침 두 개는?,별총총 어둠침침,하늘땅총침,총침별어둠,별빛총침침,별총총 어둠침침,classic,2,
해에게 오빠가 있다. 누구인가?,해오라비,달오라비,구름오빠,바람오빠,해오라비,classic,2,
해의 성별은?,여자(오빠가 있으니까),남자,중성,알수없다,여자(오빠가 있으니까),classic,2,
청소하는 여자 3자로?,청소년,청소부녀,청소하는녀,청소여인,청소년,classic,2,
코끼리 두 마리 코가 빠짐 4자로?,끼리끼리,코코끼리,빠진코끼리,코없는끼리,끼리끼리,classic,2,
가장 달콤한 술은?,입술,꿀술,달콤술,사탕술,입술,classic,2,
자동차 10대 달리는 레일은?,카텐레일,자동차레일,열차레일,카레이레일,카텐레일,classic,2,
흥부 자식 20명 5글자로?,흥부 힘 좋다,흥부 대가족,흥부 자녀많다,흥부 자식많다,흥부 힘 좋다,classic,2,
태종태세 문단세 5자로?,왕입니다요,왕이시다요,역사입니다요,조선왕입니다요,왕입니다요,classic,2,
오뎅을 5글자로 늘이면?,뎅뎅뎅뎅뎅,오뎅오뎅뎅,어묵어묵묵,오뎅뎅뎅뎅,뎅뎅뎅뎅뎅,classic,2,
누룽지를 영어로?,Bobby Brown,Crispy Rice,Brown Rice,Golden Crust,Bobby Brown,classic,2,
최지우가 기르는 개 이름은?,지우개,지우강아지,지우반려견,지우펫,지우개,classic,2,
특공대란?,특별히 공부도 못하면서 대가리만 큰 아이,특별한 공격대,특수 부대원,정예 병사,특별히 공부도 못하면서 대가리만 큰 아이,classic,2,
이 빠진 호랑이는?,Tigr,Tiger없이,이빠진tiger,반쪽tiger,Tigr,classic,2,
디카프리오의 뜻은?,내 오늘 안에 빚 갚으리오,레오나르도,멋진 배우,영화배우,내 오늘 안에 빚 갚으리오,classic,2,
남이 먹어야 맛있는 것은?,골탕,남의 밥,남의 떡,남의 음식,골탕,classic,2,
본디 내 것인데 남이 쓰는 것은?,이름,시간,공간,주소,이름,classic,2,
못 팔고도 돈 번 사람은?,철물점 주인,낙찰받은사람,경매사,부동산업자,철물점 주인,classic,2,
가만히 있는데 잘 돈다고 하는 것은?,머리,바람개비,팽이,바퀴,머리,classic,2,
아무리 멀리 가도 가까운 사람은?,친척,가족,부모,친구,친척,classic,2,
재수 없는데 재수 있다는 것은?,대입 낙방,불합격,시험탈락,면접실패,대입 낙방,classic,2,
많이 맞을수록 좋은 것은?,시험문제,매,주먹,발길질,시험문제,classic,2,
가면 좋은 사람은?,가면장사,나쁜 사람,떠나야 할 사람,미운 사람,가면장사,classic,2,
이기고도 지는 것은?,상품,게임,시합,경기,상품,classic,2,
못사는 사람들이 하는 직업은?,목수,농사꾼,어부,일용직,목수,classic,2,
이상한 사람들이 모이는 곳은?,치과,정신병원,이상한곳,특별장소,치과,classic,2,
빨간 길 위 동전 4글자?,홍길동전,빨간동전,붉은코인,홍색동전,홍길동전,classic,2,
날마다 가슴에 흑심을 품은 것은?,연필,볼펜,잉크,칠판,연필,classic,2,
피할 건 피하고 알릴 건 알리는 것은?,PR(홍보),비서,광고,언론,PR(홍보),classic,2,
인정도 눈물도 없는 아버지는?,허수아비,냉정한 아빠,무심한 아버지,돌부처 아빠,허수아비,classic,2,
허수아비의 아들 이름은?,허수,허수아들,허아들,허수아이,허수,classic,2,
가장 오래 사는 풍뎅이는?,장수풍뎅이,불사풍뎅이,영원풍뎅이,천년풍뎅이,장수풍뎅이,classic,2,
공중 화장실이란?,비행기 안 화장실,하늘 화장실,구름 화장실,떠있는 화장실,비행기 안 화장실,classic,2,
비행소녀는?,스튜어디스,비행하는소녀,날개소녀,하늘소녀,스튜어디스,classic,2,
Headline은?,가르마,제목,헤드라인,뉴스제목,가르마,classic,2,
도를 통한 스님이 많은 절은?,통도사,깨달음사,도통사,성불사,통도사,classic,2,
칠칠맞은 사람은?,페인트 뒤집어 쓴 사람,깔끔한 사람,단정한 사람,야무진 사람,페인트 뒤집어 쓴 사람,classic,2,
비로써 인정받은 사람은?,환경 미화원,빗속의 영웅,우중 활동가,비맞은 용사,환경 미화원,classic,2,
모범생이란?,모든 것이 평범한 학생,모두의 본보기,공부 잘하는 학생,착한 학생,모든 것이 평범한 학생,classic,2,
우등생이란?,우겨서 등수 올린 학생,공부 잘하는 학생,성적 좋은 학생,노력하는 학생,우겨서 등수 올린 학생,classic,2,
남녀평등이란?,남자나 여자나 등이 평평하다,남녀가 동등하다,성별 차별없다,평등한 사회,남자나 여자나 등이 평평하다,classic,2,
현역 군인이 좋아하는 대학은?,제대(제주대학),군사대학,국방대학,육군대학,제대(제주대학),classic,2,
노발대발이란? (1),할아버지 발은 크다,화가 잔뜩 났다,크게 화를 낸다,불같이 화낸다,할아버지 발은 크다,classic,2,
노발대발이란? (2),노태우 발은 큰 발,발이 크다,화가 많이 났다,노여워하다,노태우 발은 큰 발,classic,2,
언제나 말다툼이 있는 곳은?,경마장,법정,시장,격투장,경마장,classic,2,
양초 가득 찬 상자 3자로?,초만원,초가득,촛불상자,초꽉찬,초만원,classic,2,
슈퍼맨과 하늘을 날고 있는 말은?,슈퍼마리오,슈퍼말,슈퍼페가수스,하늘말,슈퍼마리오,classic,2,
억수 폭우가 쏟아지는 곳은?,비무장지대,폭우지역,집중호우지대,비바람지역,비무장지대,classic,2,
밭에서 놀고 있는 소는?,깜찍이 소다,밭소,소다소,농장소,깜찍이 소다,classic,2,
프랑스 두 대뿐인 사형 기구는?,단 두 대,기요틴두대,사형틀둘,처형기두개,단 두 대,classic,2,
티 없이 아름다운 영어는?,Beauiful,Beautiful,Beaiful,Beatiful,Beauiful,classic,2,
김이 느긋하게 온 이유는?,양반 김이라서,천천히라서,여유로워서,급하지않아서,양반 김이라서,classic,2,
눈사람의 반대말은?,일어선 사람,태양사람,비사람,봄사람,일어선 사람,classic,2,
송아지엄마A 머리짧은스님B 남C북C=C국 나+D=우리 ABCD는?,소중한 너,소중한 나,소중한 우리,소중한 것,소중한 너,classic,2,
가위바위( ) 가갸거겨( ) 123( ) 가나( ) 공통은?,보고싶다,보다,보이다,보이고싶다,보고싶다,classic,2,
천 냥 빚을 말로 갚은 사람은?,말장수,변호사,달변가,교섭가,말장수,classic,2,
죽마고우란?,죽치고 마주 앉아 고스톱 치는 친구,어릴 때 친구,오래된 친구,소꿉친구,죽치고 마주 앉아 고스톱 치는 친구,classic,2,
소금장수가 좋아하는 사람은?,싱거운 사람,짠 사람,맛없는 사람,밍밍한 사람,싱거운 사람,classic,2,
거지가 좋아하는 욕은?,빌어먹을,가난한사람,구걸하는사람,빌어먹는사람,빌어먹을,classic,2,
사시사철 피는 꽃은?,웃음꽃,진달래,장미꽃,무궁화,웃음꽃,classic,2,
남이 울 때 웃는 사람은?,장의사,악인,냉혹한사람,무심한사람,장의사,classic,2,
도둑이 좋아하는 아이스크림은?,보석바,누가바,빵빠레,메로나,보석바,classic,2,
도둑이 싫어하는 아이스크림은?,누가바,보석바,빵빠레,메로나,누가바,classic,2,
이자 없이 꾸는 것은?,꿈,시간,공기,물,꿈,classic,2,
헌병이 무서워하는 사람은?,고물장수,폭력배,범죄자,깡패,고물장수,classic,2,
병든 자 다 내게로 오라 한 사람은?,엿장수,의사,약사,한의사,엿장수,classic,2,
소가 가장 무서워하는 말은?,소피보러 간다,도살장가자,고기집가자,소고기먹자,소피보러 간다,classic,2,
먹을수록 덜덜 떨리는 음식은?,추어탕,얼음과자,냉면,빙수,추어탕,classic,2,
직장에서 가장 무서운 상사는?,불상사,폭군상사,독재상사,갑질상사,불상사,classic,2,
가장 급하게 만든 떡은?,헐레벌떡,빨리떡,급조떡,후다닥떡,헐레벌떡,classic,2,
사군자란?,공자 맹자 노자 장자,매란국죽,선비사인,군자넷,공자 맹자 노자 장자,classic,2,
세상 사람들이 좋아하는 영화는?,부귀영화,액션영화,로맨스영화,코미디영화,부귀영화,classic,2,
엿장수가 싫어하는 쇠는?,구두쇠,낡은쇠,고철쇠,녹슨쇠,구두쇠,classic,2,
가장 빠른 새는?,눈 깜짝할 새,번개새,광속새,초음속새,눈 깜짝할 새,classic,2,
하늘에서 사는 개는?,무지개(안개 번개),구름개,하늘개,천상개,무지개(안개 번개),classic,2,
원앙부부란?,원한과 앙심이 많은 부부,사이좋은 부부,금슬좋은 부부,행복한 부부,원한과 앙심이 많은 부부,classic,2,
의사란?,의리의 사나이,병고치는 사람,의술인,의료인,의리의 사나이,classic,2,
개지랄이란?,개성적이고 지성적이며 발랄한 성격,개가 짖는 소리,어리석은짓,바보짓,개성적이고 지성적이며 발랄한 성격,classic,2,
바보란?,바라볼수록 보고 싶은 사람,멍청한 사람,어리석은 사람,우둔한 사람,바라볼수록 보고 싶은 사람,classic,2,
백설공주란?,백방으로 설치고 다니는 공포의 주둥아리,착한공주,예쁜공주,동화공주,백방으로 설치고 다니는 공포의 주둥아리,classic,2,
선구자란?,선천성 구제불능 자기도취자,앞서가는 사람,개척자,리더,선천성 구제불능 자기도취자,classic,2,
천사란?,천년 묵은 독사,하늘의 사자,날개달린존재,착한존재,천년 묵은 독사,classic,2,
신사란?,신이 포기한 사기꾼,점잖은 남자,품위있는 사람,예의바른 남자,신이 포기한 사기꾼,classic,2,
형사란?,형편없는 사기꾼,수사관,경찰관,탐정,형편없는 사기꾼,classic,2,
천재지변이란?,천 번 봐도 재수없고 지금 봐도 변함없는 사람,자연재해,지진해일,폭풍홍수,천 번 봐도 재수없고 지금 봐도 변함없는 사람,classic,2,
노약자란?,노련하고 약삭빠른 사람,노인과 약자,어르신,연약한 사람,노련하고 약삭빠른 사람,classic,2,
지성인이란?,지랄 같은 성격의 소유자,지식인,교양인,학자,지랄 같은 성격의 소유자,classic,2,
우등생이란(다른 뜻)?,우둔하고 등신 같은 생물,우수한 학생,성적우수자,공부잘하는학생,우둔하고 등신 같은 생물,classic,2,
진동이란?,진기한 동물,진동소리,떨림,흔들림,진기한 동물,classic,2,
신동이란?,신기한 동물,천재어린이,재능있는아이,조숙한아이,신기한 동물,classic,2,
귀빈이란?,귀찮은 빈대,귀한 손님,VIP,특별손님,귀찮은 빈대,classic,2,
영빈이란?,영원한 빈대,귀한 손님,높은 손님,공식손님,영원한 빈대,classic,2,
장희빈이란?,장안에서 희귀한 빈대,조선왕비,왕의 여인,궁녀,장안에서 희귀한 빈대,classic,2,
엉큼한 여자란?,엉덩이만 큼직한 여자,교활한 여자,음흉한 여자,속마음 다른 여자,엉덩이만 큼직한 여자,classic,2,
추녀란?,가을 여자,못생긴 여자,보기 싫은 여자,무뚝뚝한 여자,가을 여자,classic,2,
소녀란?,소름 끼치는 여자,어린 여자,젊은 여자,미혼 여자,소름 끼치는 여자,classic,2,
미남이란(다른 뜻)?,쌀집 남자,잘생긴 남자,훈남,미형 남자,쌀집 남자,classic,2,
추남이란?,가을 남자,못생긴 남자,볼품없는 남자,투박한 남자,가을 남자,classic,2,
유부남이란? (1),아버지가 살아 계시는 남자,기혼 남자,결혼한 남자,아내 있는 남자,아버지가 살아 계시는 남자,classic,2,
유부남이란? (2),유사시 부를 수 있는 남자,연락되는 남자,도움 주는 남자,비상연락 남자,유사시 부를 수 있는 남자,classic,2,
유부남이란? (3),유난히 부담 없는 남자,친근한 남자,편한 남자,부담없는 남자,유난히 부담 없는 남자,classic,2,
쾌남형이란?,쾌쾌 묵은 남자,시원한 남자,유쾌한 남자,활달한 남자,쾌쾌 묵은 남자,classic,2,
개새끼란?,개성과 세련미와 끼가 있는 남자,나쁜 남자,못된 남자,나쁜놈,개성과 세련미와 끼가 있는 남자,classic,2,
호남형이란?,호떡 같이 생긴 남자,잘생긴 남자,매력적인 남자,호감형 남자,호떡 같이 생긴 남자,classic,2,
기형아란?,기특하고 영리한 아이,장애아,선천성 기형아이,몸이 불편한 아이,기특하고 영리한 아이,classic,2,
저능아란?,저력 있고 능력 있는 아이,지능이 낮은 아이,발달이 느린 아이,지적 장애아,저력 있고 능력 있는 아이,classic,2,
경로석이란?,경우에 따라 노인이 앉을 수 있는 자리,노인전용 자리,어르신 좌석,경로 우대석,경우에 따라 노인이 앉을 수 있는 자리,classic,2,
마돈나란?,마지막으로 돈 내고 나오는 사람,팝의 여왕,유명 가수,춤 잘추는 가수,마지막으로 돈 내고 나오는 사람,classic,2,
영물이란?,영원한 물주,신령스러운 동물,영적인 존재,신비로운 짐승,영원한 물주,classic,2,
오물이란?,오늘의 물주,쓰레기,더러운 것,찌꺼기,오늘의 물주,classic,2,
스타란?,스스로 타락한 자,유명인,연예인,인기인,스스로 타락한 자,classic,2,
외로워 죽겠다는 아비는?,홀아비,외로운 아빠,독신 아버지,혼자 사는 아빠,홀아비,classic,2,
돈벌이에 눈이 먼 아비는?,장물아비,욕심쟁이 아빠,돈독 오른 아빠,장사꾼 아빠,장물아비,classic,2,
플레이보이들이 즐기는 장난감은?,바람개비,바람둥이 장남감,재미있는 장난감,멋진 장난감,바람개비,classic,2,
한국 최초의 여성 장군은?,지하여장군,최초의 여군,첫번째 여장군,초대 여성장군,지하여장군,classic,2,
바람 피워서 얻은 자식은?,풍자(風子),불륜자식,바람둥이 자식,외도 자식,풍자(風子),classic,2,
부인이 남편에게 매일 주는 상은?,밥상,용돈,선물,애정,밥상,classic,2,
아무도 못 믿는 사람이 믿는 신은?,자기 자신,부처,하나님,알라,자기 자신,classic,2,
노처녀들이 좋아하는 약은?,혼약,비타민,홍삼,미용약,혼약,classic,2,
이상한 관계로 손님을 만나는 의사는?,치과의사,정신과의사,이상한의사,특별한의사,치과의사,classic,2,
먹으면 죽는데 안 먹을 수 없는 것은?,나이,독약,독버섯,복어,나이,classic,2,
집에서 매일 먹는 약은?,치약,비타민,소화제,진통제,치약,classic,2,
한 번만 먹고 입 다물어버리는 것은?,편지봉투,과자,껌,사탕,편지봉투,classic,2,
폭풍우보다 무서운 비는?,낭비,태풍우,집중호우,강풍,낭비,classic,2,
노력하면 얻는 금은?,저금,황금,보물,금괴,저금,classic,2,
세계에서 제일 큰 여자의 이름은?,태평양,대서양,인도양,북극해,태평양,classic,2,
세계적으로 알려진 세 여자는?,태평양 대서양 인도양,지중해 흑해 홍해,북극해 남극해 카리브해,발트해 아라비아해 남중국해,태평양 대서양 인도양,classic,2,
가장 좋은 물은?,선물,약수,생수,샘물,선물,classic,2,
사막에서도 할 수 있는 물놀이는?,사물놀이,오아시스수영,모래수영,건식수영,사물놀이,classic,2,
법적으로 바가지 받아도 되는 장사는?,바가지 장사,야채장사,과일장사,수산물장사,바가지 장사,classic,2,
도둑이 훔친 돈은?,슬그머니,훔친돈,도둑돈,절도금,슬그머니,classic,2,
여자가 지켜야 할 도리는?,아랫도리,상체도리,윗도리,예절도리,아랫도리,classic,2,
아이 추워의 반대말은?,어른 더워,어른 차가워,어른 시원해,어른 추워,어른 더워,classic,2,
세탁소 주인이 좋아하는 차는?,구기자차,세탁차,빨래차,깨끗차,구기자차,classic,2,
펭귄 한 마리 끓인 탕은?,설렁탕,펭귄탕,흑백탕,얼음탕,설렁탕,classic,2,
펭귄 두 마리 끓인 탕은?,추어탕,쌍펭탕,이중탕,듀오탕,추어탕,classic,2,
세상에서 제일 추잡한 개는?,꼴불견,불량개,야비한개,더러운개,꼴불견,classic,2,
