question,opt1,opt2,opt3,opt4,answer,era,difficulty,hint
"""만적의 난"" 발생 시기는?,신라,고려,조선,대한제국,고려,classic,3,
"""묘청의 난"" 발생 시기는?,신라,고려 인종,조선,대한제국,고려 인종,classic,3,
"""이자겸의 난"" 발생 시기는?,신라,고려,조선,대한제국,고려,classic,3,
"""조선왕조실록""은 유네스코 몇 년 등재?,1997년,2001년,2005년,2010년,1997년,classic,3,
"""팔만대장경"" 소장된 사찰은?,해인사,불국사,송광사,법주사,해인사,classic,3,
"""직지심체요절""의 의미는?,현존 최고(最古) 금속활자 인쇄본,가장 오래된 경전,불교 입문서,조선 왕조실록,현존 최고(最古) 금속활자 인쇄본,classic,3,
"""사육신""에 속하는 인물 중 한 명은?,성삼문,이이,정약용,한명회,성삼문,classic,3,
"""생육신""에 속하는 인물은?,김시습,정약용,이순신,이이,김시습,classic,3,
"""독도""는 행정상 어느 도?,경상북도,강원도,전라북도,경기도,경상북도,classic,3,
"""울릉도""는 어느 도?,경상북도,강원도,전라도,제주도,경상북도,classic,3,
"""제주도""의 가장 높은 산은?,한라산,백두산,지리산,설악산,한라산,classic,3,
"""백두산""의 해발 높이는?,1800m,2300m,2500m,2744m,2744m,classic,3,
"""한라산""의 해발 높이는?,1600m,1800m,1950m,2200m,1950m,classic,3,
"""지리산""이 위치한 지역은?,전남 · 전북 · 경남,강원 · 경기,경상북 · 경기,충청남 · 전남,전남 · 전북 · 경남,classic,3,
"""설악산""이 위치한 도는?,강원도,경기도,충북,경북,강원도,classic,3,
"""속리산""이 위치한 도는?,충청북도,경기도,경북,전북,충청북도,classic,3,
"""하회마을"" 위치는?,경북 안동,경남 진주,전남 담양,강원 영월,경북 안동,classic,3,
"""양동마을""(경주) 지정 년도는 (유네스코)?,2000년,2005년,2010년,2015년,2010년,classic,3,
"""종묘"" 위치는?,서울,개성,공주,부여,서울,classic,3,
"""한양"" = 지금의 어디?,서울,개성,평양,경주,서울,classic,3,
"""서울의 4대문"" 중 남쪽 대문 이름은?,숭례문,돈의문,흥인지문,숙정문,숭례문,classic,3,
"""서울의 4대문"" 중 북쪽 대문은?,숙정문,흥인지문,돈의문,숭례문,숙정문,classic,3,
"""경복궁""의 정전은?,근정전,사정전,교태전,강녕전,근정전,classic,3,
"""덕수궁""의 옛 이름은?,경운궁,창경궁,창덕궁,경복궁,경운궁,classic,3,
"""창덕궁""은 유네스코 등재 여부?,등재됨,등재 안 됨,부분 등재,심사 중,등재됨,classic,3,
"""조선왕릉""은 유네스코 등재 연도는?,2000년,2005년,2009년,2014년,2009년,classic,3,
"""안압지""의 현재 이름은?,동궁과 월지,안동궁,남궁,한반궁,동궁과 월지,classic,3,
"""불국사""가 있는 도시는?,경주,공주,부여,개성,경주,classic,3,
"""석굴암""은 어느 지역?,경주 토함산,공주 마곡사,부여 부소산,충주 속리산,경주 토함산,classic,3,
"""삼성혈""은 어느 지역?,제주도,강화도,울릉도,독도,제주도,classic,3,
"""정조""의 묘호로 알려진 것은?,정조,영조,숙종,세조,정조,classic,3,
"""정조대왕릉"" 이름은?,건릉,융릉,헌릉,영릉,건릉,classic,3,
