question,opt1,opt2,opt3,opt4,answer,era,difficulty,hint
추신수가 오랫동안 활약한 MLB 팀은?,신시내티 · 텍사스,LA다저스,뉴욕 메츠,디트로이트,신시내티 · 텍사스,classic,3,
이승엽의 KBO 통산 홈런 기록은 몇 개 대?,400개 대,500개 대,300개 대,200개 대,400개 대,classic,3,
"""한국의 4번 타자"" 장효조의 출신 구단은?",삼성,LG,두산,롯데,삼성,classic,4,
농구대잔치 결승 단골이었던 상대는?,연세대 · 고려대,중앙대 · 한양대,서울대 · KAIST,외대 · 동국대,연세대 · 고려대,classic,3,
"""농구대통령"" 허재의 출신 대학은?",중앙대,연세대,고려대,건국대,중앙대,classic,3,
"""골프 여제"" 박세리의 LPGA 입성 연도는?",1996년,1998년,2000년,2002년,1998년,classic,3,
손흥민이 데뷔한 분데스리가 팀은?,함부르크,레버쿠젠,바이에른,도르트문트,함부르크,modern,3,
손흥민이 토트넘으로 이적한 연도는?,2013년,2014년,2015년,2016년,2015년,modern,3,
이강인이 유럽 무대 데뷔한 팀은?,발렌시아,마요르카,PSG,세비야,발렌시아,modern,3,
황의조의 포지션은?,공격수,미드필더,수비수,골키퍼,공격수,modern,3,
유재석(농구 아님)과 이름이 같은 농구 선수는?,유재석(프로농구),정재석,조재석,양재석,유재석(프로농구),modern,4,
박태환의 주 종목 (자유형) 세부 거리는?,100m,200m · 400m,50m,1500m,200m · 400m,modern,3,
"한국 쇼트트랙 ""여제"" 심석희의 주 종목은?",500m,1000m,1500m,3000m 계주,1500m,modern,3,
이대호가 일본에서 뛴 팀 중 오랜 기간 활약한 팀은?,소프트뱅크,요미우리,한신,주니치,소프트뱅크,modern,3,
"KBO 리그 10개 구단 중 ""한화""의 연고지는?",대전,부산,광주,인천,대전,modern,3,
kt 위즈의 연고지는?,수원,용인,성남,안양,수원,modern,3,
NC 다이노스의 연고지는?,창원,대전,부산,진주,창원,modern,3,
2024 파리 올림픽 한국 개막식 국기 기수 2명은?,김서영·우상혁,우상혁·김우민,전웅태·박태준,여서정·김우민,김서영·우상혁,current,3,
2024 파리 올림픽 한국 탁구 여자 단체전 결과는?,금,은,동,4위,동,current,3,
2024 파리 올림픽 여자 배드민턴 단식 금메달리스트는?,안세영,김다경,백하나,공희용,안세영,current,3,
2024 LPGA 올해의 선수는?,넬리 코다,유해란,고진영,박민지,넬리 코다,current,3,
2024 KBO 포스트시즌 우승팀은?,KIA 타이거즈,삼성 라이온즈,LG 트윈스,두산 베어스,KIA 타이거즈,current,4,
김민재가 뛰는 분데스리가 팀 (2024~25)은?,바이에른 뮌헨,도르트문트,라이프치히,레버쿠젠,바이에른 뮌헨,current,4,
"""한국의 호머"" 별명을 가진 야구 선수는?",이승엽,장종훈,이만수,양준혁,장종훈,classic,3,
"""바람의 아들"" 별명을 가진 선수는?",이종범,양준혁,이대호,이승엽,이종범,classic,3,
"""동양의 마녀""로 불린 한국 배구 선수는?",조혜정,이숙자,김연경,김영란,조혜정,classic,3,
"""펠레""의 국적은?",브라질,아르헨티나,포르투갈,우루과이,브라질,classic,3,
"""디에고 마라도나""가 활약한 WC 우승 연도는?",1978년,1986년,1990년,1994년,1986년,classic,3,
"""타이거 우즈""의 첫 메이저 우승 대회는?",마스터스,US 오픈,디 오픈,PGA 챔피언십,마스터스,classic,3,
"""마이클 조던"" 소속이었던 팀은?",시카고 불스 · 워싱턴 위저즈,LA 레이커스,마이애미 히트,보스턴 셀틱스,시카고 불스 · 워싱턴 위저즈,classic,3,
"한국 대표 e스포츠 선수 ""페이커""의 본명은?",이상혁,조성주,이영호,김동수,이상혁,classic,3,
"""임요환""이 활약한 게임은?",스타크래프트,워크래프트,리그오브레전드,디아블로,스타크래프트,classic,3,
"""페이커"" 이상혁이 속한 팀은?",T1,Gen.G,KT 롤스터,DWG KIA,T1,classic,3,
"""한화 이글스""의 최고 전성기 시대는?",1998-1999,2001-2002,2005-2007,1999-2001,1999-2001,classic,3,
"""김하성""의 KBO 원 소속팀은?",키움 히어로즈,삼성,LG,두산,키움 히어로즈,modern,3,
"""손흥민""의 첫 프리미어리그 골 시즌은?",2013-14,2014-15,2015-16,2016-17,2015-16,modern,3,
"""김민재""의 한국 대표팀 등번호 (최근)는?",3,4,5,6,3,modern,3,
"""이강인""이 데뷔한 한국 대표팀 연령은?",U-17,U-20,성인,U-23,U-17,modern,3,
"""류현진""이 MLB에서 사이영 투표 2위를 기록한 해는?",2014년,2019년,2020년,2021년,2019년,modern,3,
"한국 쇼트트랙 ""전설"" 전이경의 주종목은?",1500m,1000m,500m,3000m,1500m,modern,3,
"한국 대표 골프 ""고진영""의 세계 랭킹 1위 기간 길이는?",50주,100주 대,150주,200주,100주 대,modern,3,
"한국 탁구 ""현정화""의 1991년 공동 금메달 종목은?",여자단식,여자복식,혼합복식,단체전,단체전,modern,3,
2024년 KBO 신인왕 후보로 유명했던 선수는?,김택연,노시환,장성우,위 셋 모두,김택연,current,3,
손흥민이 토트넘 역대 득점 몇 위 (2024 시점)?,4위 대,5위 대,2위,1위,2위,current,3,
2024 파리올림픽 사격 김예지의 기록은?,은메달,금메달,동메달,4위,은메달,current,3,
2024 파리 올림픽 수영 김우민의 은메달 종목은?,자유형 400m,접영 100m,배영 200m,자유형 200m,자유형 400m,current,3,
"""한국의 첫 올림픽 금메달"" 종목은?",양궁,복싱,레슬링,유도,레슬링,classic,3,
"""양정모"" 첫 올림픽 금메달 연도는?",1972년,1976년,1980년,1984년,1976년,classic,3,
"""황영조""가 우승한 올림픽은?",1988 서울,1992 바르셀로나,1996 애틀랜타,2000 시드니,1992 바르셀로나,classic,3,
"""이봉주""가 우승한 마라톤 대회 중 하나는?",보스턴 마라톤,런던 마라톤,베를린 마라톤,뉴욕 마라톤,보스턴 마라톤,classic,3,
"""최경주""의 주 종목은?",골프,테니스,수영,야구,골프,classic,3,
"""양용은""이 PGA 메이저 우승한 대회는?",PGA 챔피언십,마스터스,US 오픈,디 오픈,PGA 챔피언십,classic,3,
"""히딩크""의 국적은?",네덜란드,독일,프랑스,영국,네덜란드,classic,3,
"""김연아""의 은퇴 연도는?",2010년,2012년,2014년,2016년,2014년,classic,3,
"""박지성""이 FC 네덜란드 리그에서 활약한 팀은?",아인트호벤,아약스,AZ,페예노르트,아인트호벤,classic,3,
"""MBL"" 첫 한국인 선수는?",박찬호,김병현,류현진,이상훈,박찬호,classic,3,
2008 베이징 올림픽 한국 야구 결과는?,금,은,동,4강,금,classic,3,
2009 WBC 한국 결과는?,우승,준우승,3위,4위,준우승,classic,3,
"""신유빈""의 주 종목은?",탁구,배드민턴,테니스,볼링,탁구,modern,3,
"""황선우""의 주 종목은?",자유형,배영,접영,평영,자유형,modern,3,
"""오타니 쇼헤이""의 특이한 점은?",투수+타자 동시,투수 전문,타자 전문,포지션 변환,투수+타자 동시,modern,3,
"""메시""의 아르헨티나 첫 월드컵 우승은?",2014년,2018년,2022년,2010년,2022년,modern,3,
"""Faker"" 이상혁의 LoL 데뷔 연도는?",2011년,2013년,2015년,2017년,2013년,modern,3,
"""T1"" 과거 이름은?",SKT T1,KT Rolster,Samsung Galaxy,Gen.G,SKT T1,modern,3,
"""이정후""가 MLB 이적한 팀은?",샌프란시스코 자이언츠,LA다저스,SF 지어즈,보스턴,샌프란시스코 자이언츠,modern,3,
"""김하성""이 MLB 이적한 첫 팀은?",샌디에이고 파드리스,LA다저스,뉴욕 양키스,탬파베이,샌디에이고 파드리스,modern,3,
2024 파리 올림픽 한국 남자 펜싱 단체전 결과는?,금,은,동,4강,금,current,3,
2024 파리 올림픽 유도 안바울은 몇 kg급?,60kg,66kg,73kg,81kg,66kg,current,3,
2024 파리 올림픽 태권도 박태준 체급은?,-54kg,-58kg,-68kg,-80kg,-58kg,current,3,
"""여자축구 국가대표 영웅"" 지소연의 포지션은?",공격수,미드필더,수비수,골키퍼,미드필더,classic,3,
한국 여자 축구 국가대표 최고 성적 (FIFA 여자 월드컵)은?,4강,16강,조별리그 탈락,결승,16강,classic,3,
"""최경주""가 PGA 투어 첫 우승한 해는?",2000년,2002년,2004년,2006년,2002년,classic,3,
"""박인비""의 커리어 그랜드슬램 달성 연도는?",2013년,2015년,2017년,2019년,2015년,classic,3,
"""신지애""의 LPGA 주요 성적은?",LPGA 올해의 선수,AP 올해의 선수,신인상,위 모두,신인상,classic,3,
"""이상훈""(야구)이 메이저리그에 진출한 팀은?",보스턴 레드삭스,LA다저스,시카고 컵스,애틀랜타,보스턴 레드삭스,classic,3,
"""봉중근""의 별명은?",봉의사,봉세이,황금글러브,봉무병,봉의사,classic,3,
"""선동열"" 감독 시절 한국 WBC 성적은?",4강,8강,조별 탈락,우승,4강,classic,3,
"""2006 WBC"" 한국 성적은?",3위(4강),2위,1위,조별 탈락,3위(4강),classic,3,
"""차범근""의 별명은?",차붐,차차,갈색 폭격기,차의 전설,차붐,classic,3,
"""허정무""가 한국 대표팀 감독 시절 월드컵 성적은?",2010년 16강,2006년 조별,2002년 4강,결승,2010년 16강,classic,3,
"""홍명보""가 국가대표 감독으로 지휘한 올림픽은?",2012 런던,2008 베이징,2016 리우,2020 도쿄,2012 런던,classic,3,
2012 런던 올림픽 축구 한국의 최종 성적은?,동메달,은메달,금메달,4위,동메달,classic,3,
"""김수녕""의 주 종목은?",양궁,사격,펜싱,레슬링,양궁,classic,3,
"""기보배""의 주 종목은?",양궁,사격,골프,태권도,양궁,classic,3,
"한국 ""양궁"" 올림픽 금 통산 (2024까지 대략)?",20개 이상,10개 대,30개 이상,5개 대,20개 이상,classic,3,
"""김도영""의 KBO 팀은?",KIA 타이거즈,SSG 랜더스,LG 트윈스,삼성,KIA 타이거즈,modern,3,
"""이정후"" 별명은?",바람의 손자,아들,컵,영웅,바람의 손자,modern,3,
"""박용택""이 활약한 팀은?",LG 트윈스,두산 베어스,KIA 타이거즈,기아,LG 트윈스,modern,3,
"""이대호""의 별명은?",조선의 4번,빅보이,큰별,위 모두,위 모두,modern,3,
"""강백호(야구선수)""의 KBO 팀은?",KT 위즈,KIA,LG,한화,KT 위즈,modern,3,
2024 파리 올림픽 한국 근대 5종 금메달리스트는?,전웅태,이지훈,김일두,김형관,전웅태,current,3,
2024 파리 올림픽 여자 양궁 개인전 금메달리스트는?,임시현,강채영,안산,전훈영,임시현,current,3,
2024 파리 올림픽 사격 오예진의 종목은?,공기권총,공기소총,라이플,피스톨 혼합,공기권총,current,3,
2024 파리 올림픽 한국 전체 메달 수는?,20개 대,30개 대,40개 대,50개 이상,30개 대,current,3,
